nsites,chemsys,volume,density,density_atomic,energy_per_atom,formation_energy_per_atom,is_stable,band_gap,cbm,vbm,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units
20,Cd-O-Se,273.4878134372338,5.81352277375989,13.67439067186169,-5.274442168000002,-1.4118996009687508,True,3.0904000000000007,4.4057,1.3153,1.41065876,False,False,False,NM,0.0,0.0,0.0
5,Cd-O-Si,47.43478301350349,6.598592705861918,9.486956602700698,-11.352243090333332,-2.0001023183333304,False,0.6505999999999998,6.3203,5.6697,5.80402806,False,False,False,NM,0.0007266,1.5317873379818248e-05,0.0007266
60,Cd-O-Si,766.931992499724,4.897479561547846,12.7821998749954,-11.726749356833333,-2.3746085848333336,True,2.573,3.8034,1.2304,1.3090774,False,False,False,NM,0.0,0.0,0.0
40,Cd-O-Si,529.9800388010572,4.724748711745973,13.249500970026428,-11.699950424333332,-2.3478096523333307,False,2.5256,3.932,1.4064,1.4693568,True,False,False,NM,0.0025586,4.8277289948281275e-06,0.000319825
5,Cd-O-Sn,66.7948768517519,6.938980318308384,13.358975370350379,-13.852750859000007,-1.3061262500000084,False,0.0,,,3.84526827,False,True,False,NM,7.99e-05,1.1961995255614337e-06,7.99e-05
10,Cd-O-Sn,155.81331424913833,5.949277673370609,15.581331424913833,-14.119447105000006,-1.5728224960000063,False,0.7079,2.7505,2.0426,2.0425932,True,False,False,NM,0.0004626,2.9689375534386227e-06,0.0002313
10,Cd-O-Sn,131.04061486299892,7.073964607426622,13.104061486299893,-14.197986435,-1.6513618260000016,False,0.9762,3.9446,2.9684,2.99949297,False,False,False,NM,0.0,0.0,0.0
20,Cd-O-Sn,242.8075437023761,7.6354849403898974,12.140377185118805,-14.168674824500007,-1.6220502155000076,False,0.6903999999999999,4.5675,3.8771,3.94762427,True,False,False,NM,0.0,0.0,0.0
20,Cd-O-Tc,238.9613288887264,7.18272824752602,11.94806644443632,-14.188194236500001,-1.3978739735000005,False,0.0,,,4.44092264,False,True,True,FM,9.7481544,0.04079385750545135,2.4370386
40,Cd-O-Te,604.9274931616135,6.3247319197303185,15.123187329040338,-5.31107154725,-1.5190500970833327,True,3.0793,5.6864,2.6071,2.67014853,False,False,False,NM,0.0,0.0,0.0
5,Al-C-Ce,124.05038839781575,6.148730535293477,24.81007767956315,-6.384507629999999,-0.22748944349999717,True,0.0,,,7.12661914,False,True,True,FM,2.5469901,0.020531899439380125,2.5469901
5,Al-Ce-N,118.31600198715861,6.474752646871416,23.663200397431723,-22.576308064,-0.8997610077499985,True,0.0,,,7.49830826,False,True,True,FM,2.5442481,0.02150383766581412,2.5442481
5,Al-Ce-O,112.47581730920871,6.840366415089138,22.49516346184174,-6.7061688660000005,-1.4044310334999985,False,0.0,,,8.07802166,False,True,True,FM,1.5256043,0.013563842757469738,1.5256043
5,C-Ce-In,199.12790287259952,4.562938059286391,39.825580574519904,-4.174138044,1.7855997251666686,False,0.0,,,3.74155929,False,True,True,FiM,2.9768282,0.014949327327092634,2.9768282
5,C-Ce-In,128.47521933070757,7.072245460382699,25.695043866141514,-6.279061685999997,-0.3193239168333285,True,0.0,,,7.5772221,False,True,True,FM,2.5884167,0.0201472059241025,2.5884167
5,C-Ce-Pb,214.5124877735204,4.95081763190947,42.902497554704084,-4.386246108,1.764186326500002,False,0.0,,,3.76314027,False,True,True,FiM,3.9170515,0.01826024927805403,3.9170515
5,C-Ce-Sn,199.51382324234328,4.586504783776145,39.902764648468654,-4.5919669480000005,1.6178504435000014,False,0.0,,,3.9363091,False,True,True,FiM,3.6746229,0.018417886241077888,3.6746229
5,Ce-N-Sn,123.00846147221452,7.466035504515731,24.601692294442906,-7.078435411999999,-1.0466955699999971,True,0.0,,,8.59587835,False,True,True,FM,3.0449487,0.024753977600864483,3.0449487
5,Ce-N-Sn,203.11279692854276,4.521554301822287,40.622559385708556,-4.746509804,1.2852300380000017,False,0.0,,,3.80366316,False,True,True,FiM,4.8073011,0.023668135010179885,4.8073011
5,C-Ce-Tl,201.47265968457953,5.248032005932487,40.2945319369159,-4.065410932000001,1.816786511833333,False,0.0,,,3.94223675,False,True,True,FiM,2.9385982,0.01458559292660649,2.9385982
5,Ag-Al-Ce,102.79464769359234,5.31349794003353,20.558929538718466,-4.353065484000001,-0.3497424763333335,True,0.0,,,6.45045461,False,True,True,FM,1.030045,0.010020414711380031,1.030045
5,Al-Au-Ce,101.68140100567089,6.8267201710026,20.33628020113418,-21.015556922,-0.6911801419999989,True,0.0,,,7.21352516,False,True,True,FM,0.9612973,0.009454013128186415,0.9612973
5,Al-Ce-Cu,94.89291736008357,4.980354881022077,18.978583472016716,-12.869336412000001,-0.4925924620000018,True,0.0,,,7.38378387,False,True,True,FM,0.9327153,0.009829135049781322,0.9327153
5,Al-Ce-Cu,95.4517334166851,4.951197712519546,19.09034668333702,-12.787664178,-0.4109202280000005,False,0.0,,,7.1330276,False,True,True,FM,0.4629253,0.0048498364925353985,0.4629253
5,Al-Ce-Pd,96.72394870688436,5.622127336199421,19.34478974137687,-15.421425855833343,-0.6219503838333423,False,0.0,,,6.89082065,False,True,True,FM,0.3650811,0.0037744643894383856,0.3650811
5,Al-Ce-Pt,95.57972916432833,7.229821615241062,19.115945832865666,-5.3525777439999995,-0.7036156079999991,False,0.0,,,7.41367347,False,True,True,FM,0.3904171,0.004084726996126591,0.3904171
20,Al-Ce-O,213.7515026909713,6.683927317617278,10.687575134548565,-8.525620271,-3.6177568974999987,True,0.0,,,10.6471789,False,True,True,FM,4.0000001,0.018713319203107325,1.000000025
